元件,触点,描述,连接描述,功能说明,备注,,,,,,,,,,,,,,
运动控制卡,VCC,外部电源24V,开关电源24V-直流正极输出,,,,,,,,,,,,,,,,
运动控制卡,PGND,外部电源地,开关电源24V-直流负极输出,,,,,,,,,,,,,,,,
运动控制卡,X0,通用输入,复合按钮开关-启动键-触点14,,绿,,,,,,,,,,,,,,
运动控制卡,X1,通用输入,复合按钮开关-暂停键-触点13,,红,,,,,,,,,,,,,,
运动控制卡,X2,通用输入,复合按钮开关-排胶键-触点13,,黄,,,,,,,,,,,,,,
运动控制卡,X3,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X4,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X5,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X6,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X7,通用输入,复合按钮开关-急停键-触点11,,橙,,,,,,,,,,,,,,
运动控制卡,X8,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X9,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X10,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X11,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X12,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X13,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X14,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,X15,通用输入,,,,,,,,,,,,,,,,,
运动控制卡,Y0,通用输出,直流放大板-触点X2,,,,,,,,,,,,,,,,
运动控制卡,Y1,通用输出,直流放大板-触点X3,,,,,,,,,,,,,,,,
运动控制卡,Y2,通用输出,直流放大板-触点X4,,,,,,,,,,,,,,,,
运动控制卡,Y3,通用输出,直流放大板-触点X5,,,,,,,,,,,,,,,,
运动控制卡,Y4,通用输出,,,,,,,,,,,,,,,,,
运动控制卡,Y5,通用输出,,,,,,,,,,,,,,,,,
运动控制卡,Y6,通用输出,,,,,,,,,,,,,,,,,
运动控制卡,Y7,通用输出,中间继电器-触点13,,,,,,,,,,,,,,,,
运动控制卡,Y8,通用输出,报警灯-白,,,,,,,,,,,,,,,,
运动控制卡,Y9,通用输出,报警灯-绿,,,,,,,,,,,,,,,,
运动控制卡,Y10,通用输出,报警灯-红,,,,,,,,,,,,,,,,
运动控制卡,Y11,通用输出,,,,,,,,,,,,,,,,,
运动控制卡,Y12,通用输出,,,,,,,,,,,,,,,,,
运动控制卡,Y13,通用输出,,,,,,,,,,,,,,,,,
运动控制卡,Y14,通用输出,,,,,,,,,,,,,,,,,
运动控制卡,Y15,通用输出,,,,,,,,,,,,,,,,,
运动控制卡,LIM1-,1轴负向限位,,,,,,,,,,,,,,,,,
运动控制卡,LIM2-,2轴负向限位,,,,,,,,,,,,,,,,,
运动控制卡,LIM3-,3轴负向限位,,,,,,,,,,,,,,,,,
运动控制卡,LIM4-,4轴负向限位,,,,,,,,,,,,,,,,,
运动控制卡,LIM1+,1 轴正向限位,,,,,,,,,,,,,,,,,
运动控制卡,LIM2+,2 轴正向限位,,,,,,,,,,,,,,,,,
运动控制卡,LIM3+,3 轴正向限位,,,,,,,,,,,,,,,,,
运动控制卡,LIM4+,4 轴正向限位,,,,,,,,,,,,,,,,,
运动控制卡,HOME1,1 轴原点输入,接近开关1,,,,,,,,,,,,,,,,
运动控制卡,HOME2,2 轴原点输入,接近开关2,,,,,,,,,,,,,,,,
运动控制卡,HOME3,3 轴原点输入,接近开关3,,,,,,,,,,,,,,,,
运动控制卡,HOME4,4 轴原点输入,,,,,,,,,,,,,,,,,
运动控制卡,CMP+,位置比较信号（正输出）,差分转集电极模块-触点A-,,,,,,,,,,,,,,,,
运动控制卡,CMP-,位置比较信号（负输出）,差分转集电极模块-触点A+,,,,,,,,,,,,,,,,
复合按钮开关-启动键,13,,复合按钮开关-照明键-触点13,,,,,,,,,,,,,,,,
复合按钮开关-启动键,14,,运动控制卡-触点X0,,,,,,,,,,,,,,,,
复合按钮开关-暂停键,13,,运动控制卡-触点X1,,,,,,,,,,,,,,,,
复合按钮开关-暂停键,14,,复合按钮开关-排胶键-触点14,,,,,,,,,,,,,,,,
复合按钮开关-暂停键,14,,气压表-胶筒-负极,,,,,,,,,,,,,,,,
复合按钮开关-暂停键,14,,气压表-胶枪-负极,,,,,,,,,,,,,,,,
复合按钮开关-排胶键,13,,运动控制卡-触点X2,,,,,,,,,,,,,,,,
复合按钮开关-排胶键,14,,复合按钮开关-暂停键-触点14,,,,,,,,,,,,,,,,
复合按钮开关-排胶键,14,,复合按钮开关-照明键-触点13,,,,,,,,,,,,,,,,
复合按钮开关-急停键,11,,运动控制卡-触点X7,,,,,,,,,,,,,,,,
复合按钮开关-急停键,12,,开关电源24V-直流负极输出,,,,,,,,,,,,,,,,
复合按钮开关-照明键,13,,复合按钮开关-启动键-触点13,,,,,,,,,,,,,,,,
复合按钮开关-照明键,13,,复合按钮开关-排胶键-触点14,,,,,,,,,,,,,,,,
复合按钮开关-照明键,14,,直流放大板-触点X5,,,,,,,,,,,,,,,,
复合按钮开关-胶筒启动键,13,,温度控制器-胶筒-触点1,,,,,,,,,,,,,,,,
复合按钮开关-胶筒启动键,14,,空开1P-左-下端,,,,,,,,,,,,,,,,
复合按钮开关-胶枪启动键,13,,温度控制器-胶枪-触点1,,,,,,,,,,,,,,,,
复合按钮开关-胶枪启动键,14,,空开1P-左-下端,,,,,,,,,,,,,,,,
气压表-胶筒,正极,,开关电源24V-直流正极输出,,,,,,,,,,,,,,,,
气压表-胶筒,负极,,复合按钮开关-暂停键-触点14,,,,,,,,,,,,,,,,
气压表-胶枪,正极,,开关电源24V-直流正极输出,,,,,,,,,,,,,,,,
气压表-胶枪,负极,,复合按钮开关-暂停键-触点14,,,,,,,,,,,,,,,,
直流放大板,IN COM,公共端,开关电源24V-直流正极输出,,,,,,,,,,,,,,,,
直流放大板,v+,,开关电源24V-直流正极输出,,,,,,,,,,,,,,,,
直流放大板,v-,,开关电源24V-直流负极输出,,,,,,,,,,,,,,,,
